f.movieid,m.title,rating_count,average_rating
79132,inception,320,4.6
318,"shawshank redemption, the",232,4.16
2959,fight club,231,4.24
296,pulp fiction,219,4.45
260,star wars: episode iv - a new hope,217,4.34
202439,parasite,206,4.42
4878,donnie darko,177,4.32
2571,"matrix, the",169,4.71
48780,"prestige, the",161,4.45
72998,avatar,149,4.15
109487,interstellar,145,4.43
4226,memento,141,4.39
58559,"dark knight, the",140,4.23
257755,friend of the world,137,4.5
7361,eternal sunshine of the spotless mind,133,4.62
5618,spirited away,131,4.52
122912,avengers: infinity war - part i,131,2.86
204698,joker,129,4.05
593,"silence of the lambs, the",125,4.32
356,forrest gump,125,4.67
6874,kill bill: vol. 1,124,3.92
50,"usual suspects, the",123,4.45
1258,"shining, the",116,3.58
187593,deadpool 2,105,4.57
4848,mulholland drive,105,4.19
164179,arrival,104,4.27
48394,pan's labyrinth,103,3.65
4973,amelie,102,4.39
5952,"lord of the rings: the two towers, the",101,4.67
1265,groundhog day,101,4.17
68237,moon,100,4.46
2288,"thing, the",98,4.14
106920,her,97,4.2
7153,"lord of the rings: the return of the king, the",95,4.28
1214,alien,95,4.62
1682,"truman show, the",95,4.85
140956,ready player one,95,4.0
47,seven,95,3.94
79702,scott pilgrim vs. the world,93,4.39
122914,avengers: infinity war - part ii,92,3.17
185029,a quiet place,92,3.84
116797,the imitation game,89,4.28
201646,midsommar,89,4.03
2858,american beauty,88,3.83
68157,inglourious basterds,87,4.0
208703,1917,85,3.98
1206,"clockwork orange, a",85,4.32
183611,game night,85,4.18
4993,"lord of the rings: the fellowship of the ring, the",84,4.56
32587,sin city,83,3.37
27773,old boy,81,4.19
1136,monty python and the holy grail,81,4.13
4262,scarface,79,4.58
91500,the hunger games,79,3.8
217465,tenet,78,3.7
112552,whiplash,78,3.99
1089,reservoir dogs,78,4.1
60684,watchmen,78,3.96
924,2001: a space odyssey,78,4.29
4995,"beautiful mind, a",78,4.03
1197,"princess bride, the",77,4.49
99114,django unchained,77,4.21
293,léon: the professional,77,4.69
122904,deadpool,77,3.97
55247,into the wild,76,4.32
3949,requiem for a dream,76,4.21
48516,"departed, the",75,3.79
527,schindler's list,75,3.95
254726,dune,75,4.39
60069,wall·e,74,4.37
251086,the suicide squad,73,3.44
5989,catch me if you can,73,4.69
189203,upgrade,73,3.97
3000,princess mononoke,72,4.59
115569,nightcrawler,72,4.75
541,blade runner,71,4.03
1748,dark city,71,4.07
88129,drive,71,4.52
207313,knives out,70,4.34
122906,black panther,70,3.72
122882,mad max: fury road,68,4.01
134130,the martian,67,4.43
30810,"life aquatic with steve zissou, the",67,3.87
1196,star wars: episode v - the empire strikes back,67,4.78
5995,"pianist, the",67,4.08
89745,"avengers, the",66,2.89
179819,star wars: the last jedi,66,2.42
207830,terminator: dark fate,66,3.81
56367,juno,65,4.09
1199,brazil,65,4.5
270698,everything everywhere all at once,65,4.27
115713,ex machina,65,4.75
44555,"lives of others, the",64,4.57
858,"godfather, the",63,4.61
1704,good will hunting,63,4.37
94959,moonrise kingdom,63,4.19
192385,a star is born,63,3.67
1225,amadeus,62,4.51
5445,minority report,62,4.27
108729,enemy,61,4.39
73321,"book of eli, the",61,3.64
205156,jojo rabbit,61,4.11
1200,aliens,61,4.58
34405,serenity,61,4.43
79357,mr. nobody,61,4.51
175303,it,60,3.73
1653,gattaca,60,4.13
68954,up,60,4.1
225173,soul,60,4.13
134853,inside out,60,4.29
80463,"social network, the",59,3.68
74458,shutter island,59,3.43
3471,close encounters of the third kind,59,3.47
263009,the matrix resurrections,59,2.85
1210,star wars: episode vi - return of the jedi,59,4.63
5903,equilibrium,59,4.37
6711,lost in translation,59,3.86
189333,mission: impossible - fallout,58,4.69
55820,no country for old men,58,3.78
192803,bohemian rhapsody,58,3.61
1732,"big lebowski, the",58,4.18
197175,alita: battle angel,58,4.01
364,"lion king, the",57,4.5
197711,us,57,4.29
179401,jumanji: welcome to the jungle,57,3.38
1270,back to the future,57,4.61
201340,the lighthouse,56,3.79
48385,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,56,3.34
68358,star trek,56,4.39
82461,tron: legacy,55,3.68
187031,jurassic world: fallen kingdom,55,2.85
288,natural born killers,55,4.05
166643,hidden figures,54,3.95
71535,zombieland,54,4.25
912,casablanca,54,4.39
187595,solo: a star wars story,54,3.58
51540,zodiac,53,4.3
70286,district 9,53,4.37
57669,in bruges,52,4.31
96610,looper,52,3.61
224280,no time to die,52,4.04
96079,skyfall,51,4.27
1203,12 angry men,51,3.95
69757, days of summer,51,2.96
213347,a quiet place part ii,51,3.6
44191,v for vendetta,51,3.7
166635,passengers,51,3.78
195159,spider-man: into the spider-verse,51,4.5
92259,intouchables,51,4.57
117176,the theory of everything,50,4.35
202429,once upon a time in hollywood,50,3.92
263007,spider-man: no way home,50,3.25
226270,the trial of the chicago 7,50,4.84
103228,pacific rim,50,2.56
69134,antichrist,49,4.57
8961,"incredibles, the",49,4.34
206857,the irishman,49,3.98
6942,love actually,49,3.04
109374,"grand budapest hotel, the",49,4.41
4011,snatch,49,3.87
128360,the hateful eight,49,4.44
5418,"bourne identity, the",48,4.25
104841,gravity,48,3.93
183869,hereditary,48,4.35
174055,dunkirk,48,3.68
104879,prisoners,48,4.23
33794,batman begins,48,4.01
69122,"hangover, the",47,2.78
263407,don't look up,47,3.85
3967,billy elliot,47,3.93
90376,we need to talk about kevin,47,2.88
112183,birdman: or,46,3.46
59126,religulous,46,3.82
3578,gladiator,46,4.07
589,terminator 2: judgment day,46,4.87
49272,casino royale,46,4.1
32,twelve monkeys,45,3.83
164909,la la land,45,3.99
6539,pirates of the caribbean: the curse of the black pearl,45,4.3
608,fargo,45,3.97
1587,conan the barbarian,44,4.15
81591,black swan,44,3.82
8533,"notebook, the",44,3.86
8874,shaun of the dead,44,4.3
111759,edge of tomorrow,44,4.56
2028,saving private ryan,44,3.18
1252,chinatown,44,3.88
111,taxi driver,44,4.45
187541,incredibles 2,44,4.13
171763,baby driver,43,4.72
7235,ichi the killer,43,4.5
163134,your name.,43,4.73
203375,ford v. ferrari,43,4.28
48774,children of men,43,3.98
4975,vanilla sky,43,3.8
91529,"dark knight rises, the",43,3.84
1721,titanic,43,3.97
120466,chappie,43,3.65
189713,blackkklansman,43,4.05
2762,"sixth sense, the",43,4.24
7318,"passion of the christ, the",43,3.23
94864,prometheus,42,3.76
3948,meet the parents,42,2.94
31364,memories of murder,42,4.13
119145,kingsman: the secret service,42,3.31
68319,x-men origins: wolverine,42,3.57
38061,kiss kiss bang bang,42,4.49
2324,life is beautiful,42,4.18
81845,"king's speech, the",42,3.87
55908,"man from earth, the",42,4.25
8957,saw,42,4.33
1625,"game, the",42,3.86
1219,psycho,41,4.87
76093,how to train your dragon,41,4.45
51255,hot fuzz,41,3.95
168250,get out,41,4.51
204352,ad astra,41,3.24
1345,carrie,41,4.32
59315,iron man,41,3.38
42011,fun with dick and jane,40,3.61
26079,david and lisa,40,4.5
4310,pearl harbor,40,3.18
4873,waking life,40,4.08
51662,300,40,2.44
77561,iron man 2,40,3.23
182715,annihilation,40,3.74
192245,bad times at the el royale,40,3.31
2918,ferris bueller's day off,40,4.59
46578,little miss sunshine,39,3.92
485,last action hero,39,3.41
2502,office space,39,3.81
104374,about time,39,4.33
140267,the witch,39,3.69
110,braveheart,39,4.08
194951,bird box,39,2.5
8914,primer,39,4.31
4306,shrek,39,4.24
112623,dawn of the planet of the apes,39,4.72
46976,stranger than fiction,39,4.5
188749,the equalizer 2,39,4.5
3793,x-men,39,3.56
59387,"fall, the",38,4.28
2640,superman,38,4.07
89492,moneyball,38,4.05
2916,total recall,38,4.32
176419,mother!,38,3.95
7099,nausicaä of the valley of the wind,38,4.75
2628,star wars: episode i - the phantom menace,38,3.8
1246,dead poets society,38,4.49
2529,planet of the apes,37,4.0
112556,gone girl,37,4.68
1527,"fifth element, the",37,4.77
2021,dune,37,3.28
47099,"pursuit of happyness, the",37,4.28
2791,airplane!,37,3.97
86332,thor,37,3.66
97938,life of pi,37,4.2
1,toy story,37,4.0
152077,10 cloverfield lane,37,3.95
1240,"terminator, the",36,4.31
1213,goodfellas,36,4.68
64614,gran torino,36,3.89
6870,mystic river,36,3.42
1193,one flew over the cuckoo's nest,36,4.33
63992,twilight,36,2.22
188301,ant-man and the wasp,36,4.4
168492,call me by your name,36,4.88
223,clerks,36,4.44
184253,the cloverfield paradox,36,3.11
7438,kill bill: vol. 2,36,3.75
1201,"good, the bad and the ugly, the",36,4.26
96737,dredd,36,4.0
102903,now you see me,36,3.97
77307,dogtooth,35,4.81
33493,star wars: episode iii - revenge of the sith,35,4.07
