f.genres,f.movieid,m.title,average_rating
(no genres listed),163993,tell me how i die,5.0
(no genres listed),191695,be vaght sham,5.0
(no genres listed),206168,nova: first face of america,5.0
(no genres listed),182723,cosmos: a spacetime odissey,5.0
(no genres listed),173275,lana del rey: the greatest story never told,5.0
(no genres listed),171495,cosmos,4.88
(no genres listed),130446,the coconut revolution,4.5
(no genres listed),143815,poor but beautiful,4.5
(no genres listed),147750,rams,4.5
(no genres listed),149532,marco polo: one hundred eyes,4.5
(no genres listed),175879,hydrozagadka,4.5
(no genres listed),183869,hereditary,4.35
(no genres listed),205128,sherlock: the empty hearse,4.0
(no genres listed),141866,green room,4.0
(no genres listed),250830,léthé,4.0
(no genres listed),140731,company limited,4.0
(no genres listed),215173,sound of freedom,4.0
(no genres listed),132952,sarfarosh,4.0
(no genres listed),236257,varsity show,4.0
(no genres listed),183909,a futile & stupid gesture,4.0
(no genres listed),177583,ostende,4.0
(no genres listed),144258,tazza: the high rollers,4.0
(no genres listed),150534,prescription: murder,4.0
(no genres listed),156581,stutterer,4.0
(no genres listed),156605,paterson,4.0
(no genres listed),122896,pirates of the caribbean: dead men tell no tales,3.5
(no genres listed),178053,farewells,3.5
(no genres listed),192227,dansa först,3.5
(no genres listed),196511,springsteen on broadway,3.5
(no genres listed),211466,this joint is jumpin',3.5
(no genres listed),219984,never like the first time!,3.5
(no genres listed),223310,the wife of a spy,3.5
(no genres listed),228515,nova lituania,3.5
(no genres listed),230713,love me tender,3.5
(no genres listed),146884,i basilischi,3.5
(no genres listed),288059,zlatan in the slopes,3.5
(no genres listed),221160,spree,3.5
(no genres listed),164596,voyage to the sky,3.5
(no genres listed),261239,rapture,3.5
(no genres listed),170745,13 reasons why,3.5
(no genres listed),172743,somnio,3.5
(no genres listed),211195,pan t.,3.5
(no genres listed),254388,ambition,3.5
(no genres listed),126793,two shots fired,3.0
(no genres listed),141389,my 20th century,3.0
(no genres listed),155245,the patriarch,3.0
(no genres listed),167248,kedi,3.0
(no genres listed),178735,jeff dunham: relative disaster,3.0
(no genres listed),201354,machorka-muff,3.0
(no genres listed),218197,21 con 40,3.0
(no genres listed),252986,the warm money,3.0
(no genres listed),276157,les secrets de l'invisible,3.0
(no genres listed),277001,"dokumentet – sex, sprit och solidaritet",3.0
(no genres listed),237232,the night train,3.0
(no genres listed),158224,dernier atout,3.0
(no genres listed),143259,4got10,3.0
(no genres listed),266310,the big squeeze,3.0
(no genres listed),226292,we will never be alone again,3.0
(no genres listed),288849,colaholic,3.0
(no genres listed),135426,fantastic beasts and where to find them 2,2.84
(no genres listed),216585,my friend nietzsche,2.5
(no genres listed),199776,opera no. 1,2.5
(no genres listed),203936,zombies,2.5
(no genres listed),237131,earthbound,2.5
(no genres listed),281778,the statistical analysis of your failing relationship,2.5
(no genres listed),139849,the capsule,2.5
(no genres listed),231855,cold meridian,2.5
(no genres listed),221886,shiva baby,2.26
(no genres listed),215607,accomplice,2.0
(no genres listed),137296,heaven knows what,2.0
(no genres listed),206309,film study,1.5
(no genres listed),196641,young and alive,1.5
(no genres listed),226590,in omaggio all'arte italiana!,1.0
(no genres listed),154898,dream work,0.5
(no genres listed),135643,the disappointments room,0.5
Action,4636,"punisher, the",5.0
Action,175243,security,5.0
Action,7376,walking tall,4.75
Action,86142,13 assassins,4.44
Action,120938,the hire: chosen,4.0
Action,4866,"last castle, the",4.0
Action,79553,ip man 2,4.0
Action,120936,the hire: powder keg,4.0
Action,120940,the hire: ambush,4.0
Action,160114,gridlocked,4.0
Action,195343,rampant,3.5
Action,197689,polar,3.5
Action,217973,sniper: assassin's end,3.5
Action,175671,birth of the dragon,3.31
Action,3769,thunderbolt and lightfoot,3.0
Action,4531,red heat,3.0
Action,9,sudden death,3.0
Action,133276,the dead lands,3.0
Action,152591,ip man 3,3.0
Action,4614,kickboxer,2.5
Action,204268,rambo: last blood,2.3
Action,176081,the twin swords,2.0
Action,176935,geostorm,1.5
Action|Adventure,3030,yojimbo,4.5
Action|Adventure,1291,indiana jones and the last crusade,4.41
Action|Adventure,1198,raiders of the lost ark,4.3
Action|Adventure,56775,national treasure: book of secrets,4.17
Action|Adventure,7925,"hidden fortress, the",4.0
Action|Adventure,4367,lara croft: tomb raider,3.88
Action|Adventure,189555,dragon ball z - the fall of men,3.5
Action|Adventure,6664,commando,3.32
Action|Adventure,3999,vertical limit,3.0
Action|Adventure,176083,golden swallow,3.0
Action|Adventure,5154,"arena, the",2.5
Action|Adventure,91485,"expendables 2, the",2.08
Action|Adventure,52418,sky fighters,2.0
Action|Adventure,2153,"avengers, the",2.0
Action|Adventure,198151,uncharted: drake's fortune,1.5
Action|Adventure|Animation,138944,dragon ball: episode of bardock,4.5
Action|Adventure|Animation,112175,how to train your dragon 2,3.5
Action|Adventure|Animation,137859,dragon ball z gaiden: the plot to destroy the saiyans,3.5
Action|Adventure|Animation,135825,dragon ball: yo! son goku and friends return!!,1.0
Action|Adventure|Animation|Children,187541,incredibles 2,4.13
Action|Adventure|Animation|Children,95167,brave,3.79
Action|Adventure|Animation|Children|Comedy,63859,bolt,4.5
Action|Adventure|Animation|Children|Comedy,26183,asterix and cleopatra,4.5
Action|Adventure|Animation|Children|Comedy,8961,"incredibles, the",4.34
Action|Adventure|Animation|Children|Comedy,152081,zootopia,4.16
