month,average_rating
1997-11,4.04
1997-12,3.0
1998-01,1.0
1998-03,3.0
1999-06,4.0
1999-10,5.0
1999-12,5.0
2000-01,5.0
2000-12,4.0
2001-09,5.0
2002-01,3.0
2002-07,3.0
2003-04,5.0
2003-05,4.23
2003-11,4.52
2004-01,5.0
2004-04,4.0
2004-08,4.35
2005-02,4.6
2005-03,3.0
2005-04,4.0
2005-05,5.0
2005-06,4.08
2005-07,3.6
2005-08,3.87
2005-09,4.5
2005-10,4.25
2005-11,2.5
2005-12,4.0
2006-01,3.61
2006-02,4.0
2006-03,4.83
2006-04,3.71
2006-05,3.41
2006-06,3.8
2006-07,5.0
2006-08,4.38
2006-09,4.17
2006-10,4.56
2006-11,4.5
2006-12,4.04
2007-01,2.43
2007-02,3.91
2007-03,3.72
2007-04,3.77
2007-05,3.86
2007-06,3.22
2007-07,2.86
2007-08,3.76
2007-09,3.91
2007-10,3.93
2007-11,3.86
2007-12,4.1
2008-01,3.34
2008-02,3.97
2008-03,4.26
2008-04,2.63
2008-05,4.35
2008-06,4.41
2008-07,3.56
2008-08,3.66
2008-09,4.28
2008-10,3.79
2008-11,3.1
2008-12,4.46
2009-01,4.4
2009-02,3.71
2009-03,4.26
2009-04,4.29
2009-05,3.48
2009-06,3.34
2009-07,3.57
2009-08,3.81
2009-09,3.65
2009-10,3.88
2009-11,3.56
2009-12,2.87
2010-01,3.63
2010-02,3.61
2010-03,4.05
2010-04,3.25
2010-05,3.92
2010-06,3.81
2010-07,3.72
2010-08,3.16
2010-09,4.18
2010-10,3.04
2010-11,3.76
2010-12,3.3
2011-01,3.74
2011-02,3.67
2011-03,4.3
2011-04,3.7
2011-05,3.51
2011-06,2.96
2011-07,3.73
2011-08,4.56
2011-09,3.23
2011-10,2.91
2011-11,4.02
2011-12,4.11
2012-01,3.4
2012-02,4.16
2012-03,4.24
2012-04,3.77
2012-05,3.41
2012-06,3.62
2012-07,4.32
2012-08,3.56
2012-09,3.39
2012-10,3.23
2012-11,3.95
2012-12,4.45
2013-01,3.25
2013-02,3.7
2013-03,3.48
2013-04,4.12
2013-05,4.1
2013-06,3.61
2013-07,3.67
2013-08,3.72
2013-09,3.73
2013-10,4.02
2013-11,4.25
2013-12,4.0
2014-01,4.05
2014-02,4.28
2014-03,3.95
2014-04,3.71
2014-05,4.22
2014-06,4.41
2014-07,2.92
2014-08,3.75
2014-09,3.78
2014-10,3.69
2014-11,4.05
2014-12,3.61
2015-01,3.74
2015-02,3.62
2015-03,3.93
2015-04,4.27
2015-05,4.12
2015-06,4.24
2015-07,4.36
2015-08,4.14
2015-09,4.52
2015-10,3.58
2015-11,4.65
2015-12,4.0
2016-01,4.53
2016-02,4.05
2016-03,4.57
2016-04,4.17
2016-05,4.07
2016-06,4.0
2016-07,4.15
2016-08,3.13
2016-09,4.36
2016-10,4.1
2016-11,4.42
2016-12,4.21
2017-01,4.0
2017-02,4.21
2017-03,4.32
2017-04,4.19
2017-05,4.09
2017-06,4.19
2017-07,3.92
2017-08,3.79
2017-09,3.67
2017-10,3.91
2017-11,4.52
2017-12,3.94
2018-01,4.1
2018-02,4.48
2018-03,3.96
2018-04,4.27
2018-05,4.13
2018-06,3.94
2018-07,3.75
2018-08,3.84
2018-09,3.7
2018-10,3.85
2018-11,4.22
2018-12,4.47
2019-01,3.68
2019-02,3.91
2019-03,4.54
2019-04,3.64
2019-05,3.96
2019-06,4.26
2019-07,3.25
2019-08,4.22
2019-09,4.38
2019-10,3.82
2019-11,4.08
2019-12,3.52
2020-01,3.69
2020-02,3.45
2020-03,3.73
2020-04,3.43
2020-05,3.6
2020-06,3.63
2020-07,3.2
2020-08,3.54
2020-09,3.98
2020-10,3.51
2020-11,3.33
2020-12,3.67
2021-01,3.95
2021-02,4.03
2021-03,4.36
2021-04,4.13
2021-05,4.06
2021-06,3.48
2021-07,3.82
2021-08,3.95
2021-09,3.91
2021-10,3.73
2021-11,3.77
2021-12,3.78
2022-01,3.34
2022-02,3.71
2022-03,3.43
2022-04,3.7
2022-05,3.88
2022-06,3.42
2022-07,3.69
2022-08,3.56
2022-09,4.02
2022-10,3.91
2022-11,3.6
2022-12,3.96
2023-01,4.05
2023-02,3.94
2023-03,3.88
2023-04,3.82
2023-05,3.48
2023-06,3.55
2023-07,3.33
2023-08,3.57
2023-09,3.61
2023-10,3.44
2024-10,2.8
